,GOP／Gen／DMG／デジマ／資料DL_GO・Pocket紹介資料,GOP／Gen／DMG／デジマ／資料DL_サブコン業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_サブコン業界編,GOP／Gen／DMG／デジマ／資料DL_デバイス1つで始められる「遠隔臨場」徹底解説,GOP／Gen／DMG／デジマ／資料DL_公共編,GOP／Gen／DMG／デジマ／資料DL_公共編活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_建設ソリューション,GOP／Gen／DMG／デジマ／資料DL_建設業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_製造業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_製造業界編,MIX／Gen／DMG／デジマ／資料DL_映像を活用した現場DX,OPT／Gen／DMG／デジマ／資料DL_AiPeopleカウント,OPT／Gen／DMG／デジマ／資料DL_あらゆるデバイス*の映像をSafieのクラウドで一括管理できるSafieConnect,PRO／Gen／DMG／デジマ／資料DL_Manager紹介資料,PRO／Gen／DMG／デジマ／資料DL_SafieOne製品紹介,PRO／Gen／DMG／デジマ／資料DL_これさえあればOK！Safie資料3点セット,PRO／Gen／DMG／デジマ／資料DL_クラウド録画カメラサービス『Safie（セーフィー）』,PRO／Gen／DMG／デジマ／資料DL_セーフィー対応カメラ七選,PRO／Gen／DMG／デジマ／資料DL_介護業界向け_トラブルからスタッフを守る！,PRO／Gen／DMG／デジマ／資料DL_遠隔点呼に使えるクラウドカメラ紹介
GOP／Gen／DMG／デジマ／資料DL_GO・Pocket紹介資料,0,2,0,3,0,1,0,6,0,0,4,2,1,2,1,7,11,3,0,0
GOP／Gen／DMG／デジマ／資料DL_サブコン業活用ガイド+事例集,2,0,0,1,0,0,0,3,0,0,3,1,0,1,0,4,2,0,0,0
GOP／Gen／DMG／デジマ／資料DL_サブコン業界編,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP／Gen／DMG／デジマ／資料DL_デバイス1つで始められる「遠隔臨場」徹底解説,3,1,0,0,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,0
GOP／Gen／DMG／デジマ／資料DL_公共編,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP／Gen／DMG／デジマ／資料DL_公共編活用ガイド+事例集,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
GOP／Gen／DMG／デジマ／資料DL_建設ソリューション,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP／Gen／DMG／デジマ／資料DL_建設業活用ガイド+事例集,6,3,0,1,0,0,0,0,0,1,3,1,0,1,0,4,1,0,0,0
GOP／Gen／DMG／デジマ／資料DL_製造業活用ガイド+事例集,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP／Gen／DMG／デジマ／資料DL_製造業界編,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MIX／Gen／DMG／デジマ／資料DL_映像を活用した現場DX,4,3,0,2,0,0,0,3,0,0,0,1,0,1,0,4,4,0,0,0
OPT／Gen／DMG／デジマ／資料DL_AiPeopleカウント,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
OPT／Gen／DMG／デジマ／資料DL_あらゆるデバイス*の映像をSafieのクラウドで一括管理できるSafieConnect,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRO／Gen／DMG／デジマ／資料DL_Manager紹介資料,2,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,4,1,0,0
PRO／Gen／DMG／デジマ／資料DL_SafieOne製品紹介,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
PRO／Gen／DMG／デジマ／資料DL_これさえあればOK！Safie資料3点セット,7,4,0,1,0,0,0,4,0,0,4,1,0,1,0,0,3,1,0,0
PRO／Gen／DMG／デジマ／資料DL_クラウド録画カメラサービス『Safie（セーフィー）』,11,2,0,1,0,1,0,1,0,0,4,1,0,4,1,3,0,7,0,0
PRO／Gen／DMG／デジマ／資料DL_セーフィー対応カメラ七選,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0
PRO／Gen／DMG／デジマ／資料DL_介護業界向け_トラブルからスタッフを守る！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRO／Gen／DMG／デジマ／資料DL_遠隔点呼に使えるクラウドカメラ紹介,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
