,GOP／Gen／DMG／デジマ／資料DL_GO・Pocket紹介資料,MIX／Gen／DMG／デジマ／資料DL_映像を活用した現場DX,OPT／Gen／DMG／デジマ／資料DL_POSジャーナル紹介資料,PRO／Gen／DMG／デジマ／資料DL_Manager紹介資料,PRO／Gen／DMG／デジマ／資料DL_SafieOne製品紹介,PRO／Gen／DMG／デジマ／資料DL_これさえあればOK！Safie資料3点セット,PRO／Gen／DMG／デジマ／資料DL_クラウド録画カメラサービス『Safie（セーフィー）』,PRO／Gen／DMG／デジマ／資料DL_サービス業活用ガイド+事例集,PRO／Gen／DMG／デジマ／資料DL_セーフィー対応カメラ七選,PRO／Gen／DMG／デジマ／資料DL_介護業界向け_トラブルからスタッフを守る！,PRO／Gen／DMG／デジマ／資料DL_安⼼な美容室づくり_スタッフの⾒守り・接客の品質向上の 実現⽅法とは
GOP／Gen／DMG／デジマ／資料DL_GO・Pocket紹介資料,0,0,0,0,0,0,0,0,0,1,0
MIX／Gen／DMG／デジマ／資料DL_映像を活用した現場DX,0,0,0,0,0,0,1,0,1,0,0
OPT／Gen／DMG／デジマ／資料DL_POSジャーナル紹介資料,0,0,0,0,0,0,1,0,1,0,0
PRO／Gen／DMG／デジマ／資料DL_Manager紹介資料,0,0,0,0,0,0,1,0,0,0,0
PRO／Gen／DMG／デジマ／資料DL_SafieOne製品紹介,0,0,0,0,0,0,2,1,1,1,1
PRO／Gen／DMG／デジマ／資料DL_これさえあればOK！Safie資料3点セット,0,0,0,0,0,0,0,0,0,1,0
PRO／Gen／DMG／デジマ／資料DL_クラウド録画カメラサービス『Safie（セーフィー）』,0,1,1,1,2,0,0,0,5,1,0
PRO／Gen／DMG／デジマ／資料DL_サービス業活用ガイド+事例集,0,0,0,0,1,0,0,0,1,1,1
PRO／Gen／DMG／デジマ／資料DL_セーフィー対応カメラ七選,0,1,1,0,1,0,5,1,0,1,1
PRO／Gen／DMG／デジマ／資料DL_介護業界向け_トラブルからスタッフを守る！,1,0,0,0,1,1,1,1,1,0,1
PRO／Gen／DMG／デジマ／資料DL_安⼼な美容室づくり_スタッフの⾒守り・接客の品質向上の 実現⽅法とは,0,0,0,0,1,0,0,1,1,1,0
